id,question,source,choice1,choice2,choice3,choice4,answer
1,秋来ぬと目にはさやかに見えねども風の音にぞ【おどろかれぬる】,（古今和歌集）,1:思い出し,2:感じ,3:身に染み,4:気づい,4
2,物に襲はるる心地して、【おどろき】給へれば、灯も消えにけり。,（源氏物語）,1:おどおどし,2:目を覚まし,3:目をこらし,4:体を起こし,2
3,とかくしつつ【ののしる】うちに、夜更けぬ。,（土佐日記）,1:ひそひそ話をする,2:うとうとしている,3:大騒ぎする,4:罵倒し合う,3
4,この世に【ののしり】給ふ光源氏、かかるついでに見奉り給はむや。,（源氏物語）,1:笑い者になっ,2:期待され,3:評判になっ,4:非難され,3
5,常に「天照御神を【念じ】申せ」といふ人あり。,（更級日記）,1:敬い,2:考え,3:隠し,4:祈り,4
6,いみじく心憂けけれど、【念じ】てものも言はず。,（堤中納言物語）,1:悲観して,2:遠慮して,3:がまんして,4:努力して,3
7,いと悲しく【おぼえ】けり。,（大和物語）,1:感じられ,2:記憶し,3:受け止め,4:思われ,4
8,尼君の見上げたるに、少し【おぼえ】たるところあれば、子なめりと見給ふ。,（源氏物語）,1:似ている,2:異なっている,3:見知っている,4:感じている,1
9,これに、ただ【おぼえ】む古き言一つづつ書け。,（枕草子）,1:思いつく,2:似ている,3:わかる,4:思い出される,4
10,などさしも心にしみてあはれと【おぼえ】給ひけむ。,（源氏物語）,1:悩み,2:感じ,3:思い出され,4:（私から）思われ,4
11,【しのぶれ】ど色に出でにけり我が恋はものや思ふと人の問ふまで,（拾遺和歌集）,1:そ知らぬふりをする,2:逃げ出す,3:がまんする,4:目を伏せる,3
12,宮、例の、【しのび】ておはしまいたり。,（和泉式部日記）,1:用意し,2:人目を避け,3:もの思いをし,4:振る舞っ,2
13,暮れはつるまで、【ながめ】暮らしつ。,（蜻蛉日記）,1:歌を詠んで過ごし,2:もの思いに沈んで過ごし,3:話し込んで過ごし,4:ふさぎ込んで過ごし,2
14,明くるより暮るるまで、東の山ぎはを【ながめ】て過ぐす。,（更級日記）,1:想像し,2:思い出し,3:ぼんやり見,4:じっと見つめ,3
15,海の中にはつかに山【見ゆ】。,（竹取物語）,1:出る,2:かすむ,3:見える,4:隠れる,3
16,雲居よりもはるかに【見ゆる】人ありけり。,（平中物語）,1:付き合う,2:思われる,3:見える,4:いえる,2
17,時々も【見え】給へ。,（源氏物語）,1:姿を見せ,2:心を開い,3:優しくし,4:歌を贈っ,1
18,つかふ人にも【見え】で、いと長かりける髪をかい切りて、手づから尼になりにけり。,（大和物語）,1:答え,2:見られ,3:騒がれ,4:相談し,2
19,かかる異様の者、人に【見ゆ】べきにあらず。,（徒然草）,1:判断する,2:結婚する,3:会わせる,4:交流する,2
20,男、大和にある女を見て、よばひて【あひ】にけり。,（伊勢物語）,1:相談し,2:結婚し,3:協力し,4:面会し,2
21,立ちて見、【ゐ】て見、見れど、去年に似るべくもあらず。,（伊勢物語）,1:座って,2:開けて,3:乗って,4:横になって,1
22,鳥獣もなき所にて一人食ひ【ゐ】たり。,（宇治拾遺物語）,1:食って寝た,2:食ってしまった,3:食っていた,4:食って座った,3
23,菰積みたる舟の【ありく】こそ、いみじうをかしかりしか。,（枕草子）,1:動き回る,2:沈む,3:浮かぶ,4:走り去る,1
24,ひたすらに家ごとに乞ひ【ありく】。,（方丈記）,1:歩く,2:まわる,3:過ごす,4:頭を下げる,2
25,わびしと思ひ【ありき】給ふ。,（源氏物語）,1:思い始め,2:思い描い,3:思いつめ,4:思い続け,4
26,この法師ばら、美麗なる物具【飽く】まで取りて、帰りけり。,（平治物語）,1:疲れる,2:満足する,3:無くなる,4:自慢する,2
27,【飽か】ず惜しと思はば、千年を過ぐすとも一夜の夢の心地こそせめ。,（徒然草）,1:終わりがなく,2:満ち足りず,3:意味がなく,4:心配で,2
28,三寸ばかりなる人、いと【うつくしう】てゐたり。,（竹取物語）,1:上品な,2:美しい,3:かわいらしい,4:滑稽な,3
29,かの木の道の匠の作れる、【うつくしき】器物も、古代の姿こそをかしと見ゆれ。,（徒然草）,1:立派な,2:風流な,3:美しい,4:かわいい,1
30,【かなし】からん親のため、妻子のためには、恥をも忘れ、盗みもしつべきことなり。,（徒然草）,1:恥ずかしい,2:いとしい,3:寂しい,4:うっとうしい,2
31,いみじくうれしきにも涙落ちぬ。,（源氏物語）,1:それなりに,2:少し,3:ますます,4:とても,4
32,し得たりし心地は、【いみじかり】しものかな。,（大鏡）,1:とてもむなしかった,2:とても不思議だった,3:とてもすばらしかった,4:とても意外だった,3
33,死にけりと聞きて、いと【いみじかり】けり。,（大和物語）,1:とてもうれしかった,2:とても悲しかった,3:たいそう動揺した,4:たいそう安心した,2
34,雨など降るも【をかし】。,（枕草子）,1:感じがよい,2:しみじみとする,3:趣がある,4:滑稽である,3
35,たまさかに立ち出づるだに、かく思ひのほかなることを見るよと、【をかしう】思す。,（源氏物語）,1:滑稽だと,2:むなしく,3:不安だと,4:おもしろく,4
36,【をかしき】額つきの透影あまた見えてのぞく。,（源氏物語）,1:滑稽な,2:好ましい,3:美しい,4:異様な,3
37,そのほか【をかしき】ことども多かりけれども、恐れてこれを申さず。,（平家物語）,1:めでたい,2:変わった,3:滑稽な,4:楽しい,3
38,風も吹かず、【よき】日出で来て、漕ぎ行く。,（土佐日記）,1:気味悪い,2:よい,3:おもしろい,4:悪くはない,2
39,【よき】人はあやしきことを語らず。,（徒然草）,1:高貴な容貌の,2:身分が高く教養のある,3:信頼できる,4:性格の優しい,2
40,盗人【あやし】と思ひて、連子よりのぞきければ、若き女の死にて臥したるあり。,（今昔物語集）,1:不思議だ,2:待ち遠しい,3:残念だ,4:興味深い,1
41,遣戸を荒くたてあくるも、いと【あやし】。,（枕草子）,1:下品だ,2:けしからん,3:不思議だ,4:照れくさい,2
42,【あやしき】下臈なれども、（ソノ言葉ハ）聖人の戒めにかなへり。,（徒然草）,1:もの足りない,2:見知らぬ,3:よくない,4:身分が低い,4
43,水無月のころ、【あやしき】家に夕顔の白く見えて、蚊遣火ふすぶるもあはれなり。,（徒然草）,1:粗末な,2:古風な,3:立派な,4:質素な,1
